,car_id,amount,name,region,use_type,mileage
252,/uOeKTPIUerL2sIfUhOQR1mjN,"₦ 8,400,000",Toyota Sienna 2013 Ivory,"Delta State, Oshimili South",85799 km,85799 km
253,/5Xofrg0lHUb6bGs12x6hmxcb,"₦ 4,368,000",Volkswagen Passat 2012 Red,"Oyo State, Ibadan",74869 km,74869 km
254,/md092obrSIfQrrveRpF3LoUk,"₦ 4,725,000",Toyota Sienna 2008 Gray,"Lagos State, Alimosho",360244 km,360244 km
255,/dmaUr6CUA1dm9cvsoQz2kuwX,"₦ 8,400,000",Toyota Yaris 2019 Silver,"Oyo State, Ibadan",110928 km,110928 km
256,/a4WIDmK9WwnksMB0JYuPCOhy,"₦ 4,252,500",Hyundai Sonata 2011 Red,"Imo State, Owerri",321423 km,321423 km
257,/8JkcinssLTghR4q3zw077pR4,"₦ 7,350,000",Land Rover Range Rover Evoque Pure 2012 Gray,"Lagos State, Ilupeju",55749 km,55749 km
258,/aTm7YjeRtI9CzvNAzRkyLaQI,"₦ 1,785,000",Car 2005 Gray,"Lagos State, Yaba",85260 km,85260 km
259,/B5zvkA2kKJT97dRoK2aXT7Jm,"₦ 7,245,000",Toyota Highlander Hybrid 2009 Silver,"Lagos State, Ikeja",40244 km,40244 km
260,/7SQmNpu2IepUWEziQJuq2NIq,"₦ 4,725,000",Dodge Caravan 2012 Gray,"Lagos State, Lekki",135798 km,135798 km
261,/tQOeEvDxRym0A8ayhx0ySMSW,"₦ 3,675,000",Mercedes-Benz M Class 2003 Black,"Oyo State, Ibadan",73538 km,73538 km
262,/5qGGq2nJNrOmE66nCaYgLQEt,"₦ 3,150,000",Jaguar S-Type 2008 Green,"Abuja (FCT), Jabi",52845 km,52845 km
263,/yqnYPwcCnvc0tGgxt00B1egC,"₦ 3,150,000",Toyota Camry 2008 Black,"Abuja (FCT), Gwarinpa",124983 km,124983 km
264,/17oTjnzKEETjndEcVlzZ03SY,"₦ 4,200,000",Ford Focus 2012 Black,"Abuja (FCT), Garki 2",373355 km,373355 km
265,/BxpE1PphWk8X5pJV1HBWWDP4,"₦ 2,415,000",Toyota Corolla 2005 Red,"Edo State, Benin City",291348 km,291348 km
266,/xv5uOBoZJeJPaSb4hoQmUnsi,"₦ 3,937,500",Lexus RX 330 2006 Blue,"Anambra State, Onitsha",138580 km,138580 km
